States,Regions,latitude,longitude,Dates,Usage
Punjab,NR,31.51997398,75.98000281,2/1/2019,119.9
Haryana,NR,28.45000633,77.01999101,2/1/2019,130.3
Rajasthan,NR,26.44999921,74.63998124,2/1/2019,234.1
Delhi,NR,28.6699929,77.23000403,2/1/2019,85.8
UP,NR,27.59998069,78.05000565,2/1/2019,313.9
Uttarakhand,NR,30.32040895,78.05000565,2/1/2019,40.7
HP,NR,31.10002545,77.16659704,2/1/2019,30
J&K,NR,33.45,76.24,2/1/2019,52.5
Chandigarh,NR,30.71999697,76.78000565,2/1/2019,5
Chhattisgarh,WR,22.09042035,82.15998734,2/1/2019,78.7
Gujarat,WR,22.2587,71.1924,2/1/2019,319.5
MP,WR,21.30039105,76.13001949,2/1/2019,253
Maharashtra,WR,19.25023195,73.16017493,2/1/2019,428.6
Goa,WR,15.491997,73.81800065,2/1/2019,12.8
DNH,WR,20.26657819,73.0166178,2/1/2019,18.6
Andhra Pradesh,SR,14.7504291,78.57002559,2/1/2019,164.6
Telangana,SR,18.1124,79.0193,2/1/2019,204.2
Karnataka,SR,12.57038129,76.91999711,2/1/2019,206.3
Kerala,SR,8.900372741,76.56999263,2/1/2019,72.7
Tamil Nadu,SR,12.92038576,79.15004187,2/1/2019,268.3
Pondy,SR,11.93499371,79.83000037,2/1/2019,6.3
Bihar,ER,25.78541445,87.4799727,2/1/2019,82.3
Jharkhand,ER,23.80039349,86.41998572,2/1/2019,24.8
Odisha,ER,19.82042971,85.90001746,2/1/2019,70.2
West Bengal,ER,22.58039044,88.32994665,2/1/2019,108.2
Sikkim,ER,27.3333303,88.6166475,2/1/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,2/1/2019,2.1
Assam,NER,26.7499809,94.21666744,2/1/2019,21.7
Manipur,NER,24.79997072,93.95001705,2/1/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,2/1/2019,6.1
Mizoram,NER,23.71039899,92.72001461,2/1/2019,1.9
Nagaland,NER,25.6669979,94.11657019,2/1/2019,2.2
Tripura,NER,23.83540428,91.27999914,2/1/2019,3.4
Punjab,NR,31.51997398,75.98000281,3/1/2019,121.9
Haryana,NR,28.45000633,77.01999101,3/1/2019,133.5
Rajasthan,NR,26.44999921,74.63998124,3/1/2019,240.2
Delhi,NR,28.6699929,77.23000403,3/1/2019,85.5
UP,NR,27.59998069,78.05000565,3/1/2019,311.8
Uttarakhand,NR,30.32040895,78.05000565,3/1/2019,39.3
HP,NR,31.10002545,77.16659704,3/1/2019,30.1
J&K,NR,33.45,76.24,3/1/2019,54.1
Chandigarh,NR,30.71999697,76.78000565,3/1/2019,4.9
Chhattisgarh,WR,22.09042035,82.15998734,3/1/2019,78.8
Gujarat,WR,22.2587,71.1924,3/1/2019,316.7
MP,WR,21.30039105,76.13001949,3/1/2019,253.6
Maharashtra,WR,19.25023195,73.16017493,3/1/2019,419.6
Goa,WR,15.491997,73.81800065,3/1/2019,13.7
DNH,WR,20.26657819,73.0166178,3/1/2019,18.2
Andhra Pradesh,SR,14.7504291,78.57002559,3/1/2019,170.1
Telangana,SR,18.1124,79.0193,3/1/2019,204.5
Karnataka,SR,12.57038129,76.91999711,3/1/2019,212.2
Kerala,SR,8.900372741,76.56999263,3/1/2019,73.6
Tamil Nadu,SR,12.92038576,79.15004187,3/1/2019,285.2
Pondy,SR,11.93499371,79.83000037,3/1/2019,6.5
Bihar,ER,25.78541445,87.4799727,3/1/2019,82
Jharkhand,ER,23.80039349,86.41998572,3/1/2019,25.6
Odisha,ER,19.82042971,85.90001746,3/1/2019,67.9
West Bengal,ER,22.58039044,88.32994665,3/1/2019,110.2
Sikkim,ER,27.3333303,88.6166475,3/1/2019,1.9
Arunachal Pradesh,NER,27.10039878,93.61660071,3/1/2019,2.2
Assam,NER,26.7499809,94.21666744,3/1/2019,23.4
Manipur,NER,24.79997072,93.95001705,3/1/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,3/1/2019,6.5
Mizoram,NER,23.71039899,92.72001461,3/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,3/1/2019,2.2
Tripura,NER,23.83540428,91.27999914,3/1/2019,3.6
Punjab,NR,31.51997398,75.98000281,4/1/2019,118.8
Haryana,NR,28.45000633,77.01999101,4/1/2019,128.2
Rajasthan,NR,26.44999921,74.63998124,4/1/2019,239.8
Delhi,NR,28.6699929,77.23000403,4/1/2019,83.5
UP,NR,27.59998069,78.05000565,4/1/2019,320.7
Uttarakhand,NR,30.32040895,78.05000565,4/1/2019,38.1
HP,NR,31.10002545,77.16659704,4/1/2019,30.1
J&K,NR,33.45,76.24,4/1/2019,53.2
Chandigarh,NR,30.71999697,76.78000565,4/1/2019,4.8
Chhattisgarh,WR,22.09042035,82.15998734,4/1/2019,74.8
Gujarat,WR,22.2587,71.1924,4/1/2019,301.9
MP,WR,21.30039105,76.13001949,4/1/2019,239.3
Maharashtra,WR,19.25023195,73.16017493,4/1/2019,395.8
Goa,WR,15.491997,73.81800065,4/1/2019,12.6
DNH,WR,20.26657819,73.0166178,4/1/2019,16.7
Andhra Pradesh,SR,14.7504291,78.57002559,4/1/2019,165.2
Telangana,SR,18.1124,79.0193,4/1/2019,201.2
Karnataka,SR,12.57038129,76.91999711,4/1/2019,205.3
Kerala,SR,8.900372741,76.56999263,4/1/2019,73.4
Tamil Nadu,SR,12.92038576,79.15004187,4/1/2019,270.3
Pondy,SR,11.93499371,79.83000037,4/1/2019,6.4
Bihar,ER,25.78541445,87.4799727,4/1/2019,82.9
Jharkhand,ER,23.80039349,86.41998572,4/1/2019,26.3
Odisha,ER,19.82042971,85.90001746,4/1/2019,66.3
West Bengal,ER,22.58039044,88.32994665,4/1/2019,106.8
Sikkim,ER,27.3333303,88.6166475,4/1/2019,1.7
Arunachal Pradesh,NER,27.10039878,93.61660071,4/1/2019,2.2
Assam,NER,26.7499809,94.21666744,4/1/2019,21.7
Manipur,NER,24.79997072,93.95001705,4/1/2019,2.4
Meghalaya,NER,25.57049217,91.8800142,4/1/2019,6.3
Mizoram,NER,23.71039899,92.72001461,4/1/2019,1.7
Nagaland,NER,25.6669979,94.11657019,4/1/2019,2.2
Tripura,NER,23.83540428,91.27999914,4/1/2019,3.5
Punjab,NR,31.51997398,75.98000281,5/1/2019,121
Haryana,NR,28.45000633,77.01999101,5/1/2019,127.5
Rajasthan,NR,26.44999921,74.63998124,5/1/2019,239.1
Delhi,NR,28.6699929,77.23000403,5/1/2019,79.2
UP,NR,27.59998069,78.05000565,5/1/2019,299
Uttarakhand,NR,30.32040895,78.05000565,5/1/2019,39.2
HP,NR,31.10002545,77.16659704,5/1/2019,30.2
J&K,NR,33.45,76.24,5/1/2019,51.5
Chandigarh,NR,30.71999697,76.78000565,5/1/2019,4.3
Chhattisgarh,WR,22.09042035,82.15998734,5/1/2019,69
Gujarat,WR,22.2587,71.1924,5/1/2019,313.2
MP,WR,21.30039105,76.13001949,5/1/2019,228.2
Maharashtra,WR,19.25023195,73.16017493,5/1/2019,411.1
Goa,WR,15.491997,73.81800065,5/1/2019,13
DNH,WR,20.26657819,73.0166178,5/1/2019,17.6
Andhra Pradesh,SR,14.7504291,78.57002559,5/1/2019,167.4
Telangana,SR,18.1124,79.0193,5/1/2019,201.7
Karnataka,SR,12.57038129,76.91999711,5/1/2019,212.4
Kerala,SR,8.900372741,76.56999263,5/1/2019,75.4
Tamil Nadu,SR,12.92038576,79.15004187,5/1/2019,286.8
Pondy,SR,11.93499371,79.83000037,5/1/2019,6.6
Bihar,ER,25.78541445,87.4799727,5/1/2019,77
Jharkhand,ER,23.80039349,86.41998572,5/1/2019,23
Odisha,ER,19.82042971,85.90001746,5/1/2019,65.8
West Bengal,ER,22.58039044,88.32994665,5/1/2019,107
Sikkim,ER,27.3333303,88.6166475,5/1/2019,2
Arunachal Pradesh,NER,27.10039878,93.61660071,5/1/2019,2.2
Assam,NER,26.7499809,94.21666744,5/1/2019,22.5
Manipur,NER,24.79997072,93.95001705,5/1/2019,2.7
Meghalaya,NER,25.57049217,91.8800142,5/1/2019,5.7
Mizoram,NER,23.71039899,92.72001461,5/1/2019,1.8
Nagaland,NER,25.6669979,94.11657019,5/1/2019,2.3
Tripura,NER,23.83540428,91.27999914,5/1/2019,3.5
Punjab,NR,31.51997398,75.98000281,6/1/2019,121.4
Haryana,NR,28.45000633,77.01999101,6/1/2019,132.6
Rajasthan,NR,26.44999921,74.63998124,6/1/2019,240.4
